Sentence,FK Reading Ease,FOG Scale,SMOG Index,ARI,CL Index,LW Formula,DC Score,Readability Consensus,Spache Formula
"Just compare Sinegal's contract with that for the CEO and president of Costco competitor BJ's Wholesale (BJ), Laura J. Sen.",59.64,12.0,0.0,13.1,10.85,12.0,14.1,12.0,6.6690000000000005
Justice Dinakaran had maintained that he had not acquired an inch of land since his appointment as a judge of HC and even called the collector's report motivated.,59.98,15.49,0.0,15.3,10.57,17.0,10.1,11.0,6.936999999999999
"Just kidding - traveling around the world, I'm sure!",71.82,8.2,0.0,8.5,9.35,4.5,7.98,9.0,4.116999999999999
Just like bios upgrades for mobos.,90.77,2.4,0.0,4.3,6.25,2.0,11.83,2.0,4.551666666666666
"Just like that brand new Michael Jackson movie came out, 'This Is It.' This is it for freedom.",104.64,3.6,0.0,3.2,4.14,3.5,8.47,4.0,2.5857777777777775
Just look at the employment contract for new Freddie Mac (FRE) CFO Ross J. Kari that we wrote about earlier this month.,85.69,8.04,0.0,5.0,6.3,5.5,11.36,6.0,3.9536363636363636
"""Just on its face, it looks like they are just trying to find things to deny him.""",96.52,6.8,0.0,5.3,3.59,7.5,8.19,4.0,4.247764705882352
Just put in the exact model number and it will tell you the exact config as it left their factory.,68.1,8.0,0.0,7.2,5.34,11.0,6.21,8.0,4.519
just replace /dev/sdb1 by your WD passport name and then your WD will shutdown silently ( like in windows,61.67,7.2,0.0,10.3,9.51,10.5,11.55,10.0,6.243666666666666
Just sat down and enjoyed myself in the late summer sun.,85.69,4.4,0.0,3.8,5.26,4.5,5.62,4.0,3.171818181818182
Just seems simply enough to keep your journal.,88.74,3.2,0.0,5.6,7.9,3.0,9.95,3.0,4.116999999999999
Just so that we don't always need to fire up the terminal.,84.68,8.13,0.0,3.0,3.58,6.0,5.55,6.0,3.247666666666666
Just speed is maybe not at optimal.,89.75,8.51,0.0,1.6,3.26,3.5,6.24,3.0,3.0545714285714283
Just that no one at the school wants to spend any more money on it than is necesary.,95.51,7.2,0.0,5.1,3.71,8.0,6.28,4.0,3.8547777777777776
"Just think of all those wasted NRCC/RNC dollars spent on the ACORN-Friendly, Big Labor-Backing, Tax-and-Spend, Margaret Sanger Award-Winning Radical in GOP Clothing.",40.69,10.62,0.0,20.4,18.04,16.0,13.34,11.0,7.068272727272728
"""Just timed the jump,"" he said.",116.15,2.4,0.0,2.0,0.45,2.0,6.57,2.0,1.6849999999999998
"just to be sure, here's the script that calls the script:",111.07,4.4,0.0,4.2,4.74,4.5,7.05,5.0,2.3899999999999997
"Just to clarify an earlier poster's comment, the Crowne Plaza underwent a major renovation just over a year ago.",52.19,16.02,0.0,11.4,10.5,13.5,11.23,11.0,5.781157894736841
"Just to clarify, I'm a Malaysian in US for business and just wanted to squeeze a visit to Niagara Falls before I return to my home country.",60.99,13.76,0.0,11.8,6.62,15.5,7.9,12.0,5.601555555555555
Just tried the link that I included in my post above and it doesn't work for me.,88.06,9.15,0.0,4.8,3.59,8.5,6.34,5.0,3.741882352941176
just trying to help a small school reclaim an old apple from certain untimely death.,73.17,8.67,0.0,8.1,8.81,7.5,7.54,9.0,4.6739999999999995
Kaffeine does crash a lot.,100.24,2.0,0.0,1.8,2.64,1.5,7.04,2.0,3.264
"Karen Derr, a real estate broker aiming for at-large position 1, has a ""passion for Houston neighborhoods.""",54.22,11.51,0.0,12.3,11.42,10.5,13.77,12.0,6.777176470588234
"Karzai rejected Abdullah Abdullah's conditions for next Saturday's vote, including removing top election officials whom the challenger accused of involvement in cheating in the first-round balloting in August.",17.68,25.49,0.0,23.2,19.67,24.0,13.48,24.0,9.087
"Kay Bloom, 78, of Alameda, said she didn't see any oil when she walked on the beach that morning, but she is still upset that a spill could occur less than two years after the Cosco Busan incident.",66.75,16.25,0.0,17.4,6.8,20.0,9.26,9.0,7.102263157894736
Keep following the instructions as provided.,31.55,15.73,0.0,12.2,15.88,5.0,9.2,16.0,4.551666666666666
keep getting 'no acceptable C compiler found at $Path'.,62.34,12.49,0.0,7.7,8.67,5.5,12.86,8.0,4.01911111111111
Keeping it simple for a family of 5 that will be on the go from sun up to sun down.,85.02,8.0,0.0,3.6,0.99,11.0,6.21,6.0,4.089
"Keep your readers aware and if possible, keep directing them to Doug's website to contribute.",64.71,11.33,0.0,10.9,11.53,10.5,10.7,11.0,5.247333333333334
"Keith Vaz, who chairs the home affairs select committee, described Nutt's comments as ""unwise"".",57.27,8.46,0.0,13.2,13.62,7.0,14.48,14.0,6.498714285714286
"Khalaf, 43, was hospitalized with injuries that are not life-threatening.",52.87,12.0,0.0,13.7,16.04,6.0,12.03,12.0,5.689
"Khalil Abbas has worked with plants since he was 7 years old, and his tree nursery could be a barometer of Iraq's changing fortunes.",72.5,11.27,0.0,12.0,8.65,13.0,12.06,12.0,6.014666666666667
Khan owns a travel agency and is president of the Pakistani-American Association of Greater Houston.,30.87,11.33,0.0,13.1,14.61,10.5,13.85,13.0,6.394
"King ran unsuccessfully for mayor of Oakland against Jerry Brown in 1998, and has been with AC ever since.",69.11,9.71,0.0,9.9,8.99,10.5,8.73,9.0,4.875894736842104
Kirk acknowledged that he has been urged by some colleagues to take a higher profile.,81.63,8.67,0.0,8.3,9.21,7.5,10.7,9.0,5.247333333333334
"Kirk has been assigned to two important Senate committees: Homeland Security, which oversees domestic security issues, and Armed Services, which deals with military issues, including the Iraq and Afghanistan wars.",24.11,18.67,0.0,22.4,17.71,22.0,14.07,18.0,8.222333333333333
"Kirk ""has fit in, seamlessly and superbly,"" Kerry said.",79.26,8.04,0.0,7.7,8.03,4.5,11.1,8.0,4.974666666666666
"Kirk has given few speeches, limited his press releases to a few nuts-and-bolts issues, and shunned almost all requests for interviews.",50.16,14.11,0.0,14.9,13.11,14.5,12.95,15.0,6.257142857142856
"Kirk insists he will use his influence more, though it is unlikely he would throw verbal bombs at Republicans or give fiery speeches.",65.05,14.42,0.0,12.8,10.51,14.5,10.96,11.0,6.3254782608695646
kppp just intialized and debug window showed ATZ followed by ERROR.,68.77,8.04,0.0,8.5,11.06,5.5,14.23,9.0,5.5172727272727276
"Kubuntu 5.04 on HP nx9110 laptop, using 686 kernal.",79.26,3.6,0.0,5.6,6.7,3.5,19.87,4.0,5.930222222222222
"Labour claims Bearwood, a British-registered firm, has been the beneficiary of cash from Stargate Holdings, a Belize-based company.",44.75,11.64,0.0,17.4,17.22,13.0,14.18,12.0,6.243666666666666
"Labour MP Gisela Stuart, a member of the House of Commons select committee on foreign affairs, said: ""The fact that the Tories' major donor and major influence behind the party's election campaign, who has such untransparent financial affairs, is now influencing Tory foreign policy is extremely worrying, particularly in the light of David Cameron's avowed commitment to openness.""",4.15,30.1,0.0,33.9,14.93,39.0,13.86,0.0,11.98251724137931
"Lake George still thrives in the off-season, which may be your best time to get A Taste of Poland (375 Canada Street).",91.45,8.8,0.0,10.3,6.96,12.0,8.32,9.0,4.331909090909091
"Lake Placid has some limited shopping, outlet stores like The Gap, Bass, Izod, Geoffrey Beane and Van Huesen.",70.13,11.64,0.0,11.6,10.44,11.0,14.18,12.0,5.28811111111111
Lake Placid is a beautiful little town with unique shops and resturants not to mention the scenery.,79.6,6.8,0.0,10.1,10.38,8.5,10.05,7.0,4.247764705882352
"Landowners ""certainly have participated in press campaigns against me and conspired in meetings where they said they must eliminate the cancer that I represent,"" Montes told The Times in 1991, after his brother's death.",45.43,17.13,0.0,21.3,13.99,21.0,11.36,21.0,7.909470588235294
"Lane Lewis, a teacher, was appointed by mayors Bob Lanier, Lee Brown and White to several police oversight committees.",60.65,11.81,0.0,12.8,12.01,12.5,10.4,13.0,5.328526315789473
"Larry Hamermesh, a business law professor at Widener University in Delaware, said the state gets an unfair rap.",44.75,13.87,0.0,12.2,11.77,12.0,10.67,12.0,6.243666666666666
Laster ran for state representative in 1998 and for District F in 1999.,75.2,8.28,0.0,6.5,7.7,6.5,11.57,7.0,3.995076923076923
"Last July, after CMS won a contract to handle mail for the Social Security Administration, the administration performed a routine background check on Studnitz and other CMS employees, who needed a low-level security clearance to work on the contract.",23.43,18.68,0.0,23.7,14.11,24.5,10.02,20.0,8.322615384615384
"Last-minute contacts were under way late Saturday between representatives of Karzai and Abdullah to resolve the crisis, and the challenger's spokesman Fazel Sancharaki insisted no final decision on a withdrawal had been made.",29.52,20.47,0.0,22.6,16.55,23.5,11.97,17.0,8.358666666666666
"Last month the joint committee on vaccination and immunisation discussed extending the programme to include under-18s, once the priority cases have been vaccinated.",14.29,19.63,0.0,19.1,18.05,18.5,13.02,19.0,7.821130434782608
"Last night a former home secretary, Charles Clarke, called for a major review of drugs policy and urged ministers not to ""isolate themselves"" from science.",54.56,14.8,0.0,15.8,12.25,15.5,12.46,12.0,6.772
"Last night, it caused my entire system to hang.",96.18,3.6,0.0,3.5,4.78,3.5,9.35,4.0,4.01911111111111
"Last night, Shadow Home Secretary Chris Grayling said he supported Prof Nutt's dismissal, but blamed the Government for allowing the row to develop.",56.59,16.16,0.0,15.9,13.76,16.5,11.64,12.0,5.951565217391304
"Last night the mother of Marc Lawrence, 26, one of the Royal Navy officers killed, accused the MoD of a ""whitewash"".",75.54,10.3,0.0,10.6,7.6,11.5,9.94,8.0,5.0285714285714285
"Last night, the University of Bristol professor of psychopharmacology revealed some of his children - he has two sons and two daughters, aged 18 to 26 - had taken 'soft drugs' before and that he was more concerned about drinking habits.",40.35,18.68,0.0,21.8,11.44,23.5,11.24,11.0,8.102102564102564
"Last Sunday it was well down on its 2009 peak, with just 852,000.",100.58,5.2,0.0,4.3,4.16,5.5,7.93,5.0,2.6719999999999997
Last Sunday's two-vehicle suicide bombing also targeted the Governorate in central Baghdad.,25.46,14.8,0.0,16.0,19.07,8.0,14.76,15.0,8.264333333333331
"Last Wednesday, Taliban attackers killed five U.N. employees - including one American - and three Afghans in a brazen assault on a residential hotel housing international staff in the heart of Kabul.",24.11,18.67,0.0,19.9,14.63,22.0,12.49,13.0,7.648999999999999
Last weekend's gang rape at Richmond High School was almost bound to happen.,83.66,5.2,0.0,8.2,9.5,5.5,9.14,6.0,3.995076923076923
"Last week's decision to take controversy-scarred Justice Dinakaran off the panel, has been conveyed to the Centre, clearing the way for filling four of seven existing vacancies in the Supreme Court.",48.47,17.56,0.0,19.6,13.82,19.5,12.31,20.0,8.261612903225807
"Last week, sensitive quarterback Finn delivered a speech that was one of the pop-operatic series' realest moments so far.",52.19,16.02,0.0,13.6,12.94,13.5,11.23,14.0,6.23378947368421
"Last week, the Blue Cross Foundation gathered about two dozen of the state's major health care players and policy makers at the University of Massachusetts Club in Boston to begin discussing the potential ramifications of the emerging federal law.",23.43,22.78,0.0,23.3,13.94,26.5,11.24,23.0,9.204666666666666
"Last year, a Nativity display at the capitol stirred controversy after a Wisconsin-based atheist group put up a nearby placard mocking religion.",32.22,16.07,0.0,15.9,14.33,15.0,12.62,15.0,7.459181818181818
"Last year, Apple was sued over its iMacs with cheaper, 6-bit TN (""twisted nematic"") screens, which have a narrower viewing angle and less color accuracy and depth, because some users argued the screens were technically incapable of actually producing the ""millions of colors"" supported by their graphics cards.",22.76,25.87,0.0,28.4,13.94,32.0,13.91,14.0,10.473666666666665
"Last year, Hubel threw for 623 yards and five touchdowns against Eastern Washington.",83.66,8.28,0.0,11.2,13.04,6.5,10.35,5.0,3.995076923076923
"Last year, two people died trying.",90.77,2.4,0.0,4.3,5.27,2.0,6.57,2.0,3.1183333333333327
"Late October polls show Corzine and Christie polling neck-and-neck, while Independent candidate Chris Daggett continues to make gains, primarily peeling support away from the Republican challenger.",36.63,18.09,0.0,22.8,20.25,19.0,14.04,15.0,7.151153846153846
"Later, Fareed Zakaria sits down with Matthew Hoh, a former State deparment official who resigned his post in Afghanistan to protest United States involvement there.",54.56,14.8,0.0,17.4,14.8,15.5,13.09,15.0,7.116
"Later in the campaign, we were also told by many pundits (often through crocodile tears) that the criticism of Sarah Palin as the GOP Vice-Presidential standard-bearer was further evidence of the latent sexism of the Democratic Party.",33.92,20.21,0.0,22.3,13.41,24.5,12.73,13.0,8.84518918918919
Later two more bodies were found in a crawl space in the house.,92.12,5.2,0.0,3.5,4.16,5.5,5.5,4.0,3.333538461538461
"Laura Grant, a fifth-grade teacher, echoes her father's old campaign pitch: Rural voters need a moderate at the table with the Legislature's Democratic majority, to ensure those interests aren't represented solely by the minority party.",10.57,22.0,0.0,23.2,15.27,24.5,12.59,13.0,9.214
Lawmakers considered granting equal representation in people's congresses to rural and urban people.,15.98,14.43,0.0,17.0,20.23,8.5,14.0,14.0,7.964307692307692
"Layar, the first camera-based AR app to really blow us (or anyone) away, has quietly slipped into the App Store.",59.64,10.0,0.0,10.5,7.95,13.0,9.37,10.0,4.949
Layar: There's the obvious reason to be excited about this:,61.33,8.0,0.0,7.1,8.5,6.0,8.87,8.0,3.969
Leaders around the globe also voiced approval.,81.29,2.8,0.0,9.0,12.36,2.5,13.01,3.0,4.283142857142856
LED backlighting is also environmentally friendly because it uses no toxic mercury.,17.0,11.47,0.0,12.8,16.17,7.0,10.81,13.0,6.114333333333333
Leftist feminists feel that conservative women disparage the very things feminists work for while enjoying the benefits of that work.,34.26,18.0,0.0,15.4,15.49,16.0,10.16,16.0,6.238999999999999
"Leigh's father, David, said his son, who was not married, was based in San Diego and was focused on a military career ""since age 3.""",79.94,11.6,0.0,11.4,6.22,13.5,10.56,11.0,5.395999999999999
"Leigh went to Norwich University, a military school in Vermont, and joined the Marines right after graduation in 1996.",52.19,13.92,0.0,12.8,12.36,12.5,12.06,13.0,5.781157894736841
Less than half of the dormant cancers will progress to become invasive but 30% are treated with mastectomies.,70.13,11.64,0.0,11.6,11.42,11.0,10.67,11.0,5.765888888888888
let me know if this doesn't work for anyone!,96.18,3.6,0.0,1.9,2.87,3.5,0.45,4.0,2.1079999999999997
"Let me know if you experience trouble, and we'll find out of them.",83.66,8.28,0.0,4.6,4.57,6.5,5.5,5.0,3.333538461538461
Let me know if you need anything else.,105.66,3.2,0.0,0.8,2.1,3.0,0.4,1.0,1.9669999999999999
Let me/us know how it goes.,116.15,2.4,0.0,-1.2,-1.53,2.0,0.3,-1.0,1.6849999999999998
Let's go straight to some quotes from the interview:,96.18,8.04,0.0,6.1,8.03,4.5,7.59,8.0,3.0635555555555554
"let's suppose, though, that my broadcom wireless card is welded permanently to my laptop and that removing it would cause the whole unit to explode and seriously injure anyone involved in the removal.",46.44,16.84,0.0,19.0,12.14,19.5,11.02,15.0,8.358666666666666
